"","X","County.Code","District.Code","School.Code","Charter.Number","Test.Year","Subgroup.ID","Test.Type","CAPA.Assessment.Level","Total.STAR.Enrollment","Total.Tested.At.Entity.Level","Total.Tested.At.Subgroup.Level","Grade","Test.Id","STAR.Reported.Enrollment.CAPA.Eligible","Students.Tested","Percent.Tested","Mean.Scale.Score","Percentage.Advanced","Percentage.Proficient","Percentage.At.Or.Above.Proficient","Percentage.Basic","Percentage.Below.Basic","Percentage.Far.Below.Basic","Students.with.Scores","CMA.STS.Average.Percent.Correct","School.Name","District.Name","County.Name","Zip.Code","Test.Name","Subgroup.Name"
"25","48277",38,68478,3834769,0,2010,4,"C",0,437,414,191,11,19,140,54,38.6,324.1,NA,NA,37,NA,NA,NA,54,NA,"O'Connell (John A.) High","San Francisco Unified","San Francisco",94110,"CST U.S. History"," Females"
"26","48279",38,68478,3834769,0,2010,4,"C",0,437,414,191,11,13,140,28,20,269.7,NA,NA,0,NA,NA,NA,28,NA,"O'Connell (John A.) High","San Francisco Unified","San Francisco",94110,"CST Algebra II"," Females"
"27","48295",38,68478,3834769,0,2010,6,"C",0,437,414,241,9,9,165,63,38.2,285.6,NA,NA,10,NA,NA,NA,63,NA,"O'Connell (John A.) High","San Francisco Unified","San Francisco",94110,"CST Algebra I"," Fluent-English Proficient and English Only"
"28","48297",38,68478,3834769,0,2010,6,"C",0,437,414,241,9,11,165,25,15.2,335.9,NA,NA,33,NA,NA,NA,24,NA,"O'Connell (John A.) High","San Francisco Unified","San Francisco",94110,"CST Geometry"," Fluent-English Proficient and English Only"
"29","48313",38,68478,3834769,0,2010,6,"C",0,437,414,241,11,11,140,18,12.9,271.1,NA,NA,11,NA,NA,NA,18,NA,"O'Connell (John A.) High","San Francisco Unified","San Francisco",94110,"CST Geometry"," Fluent-English Proficient and English Only"
"30","48317",38,68478,3834769,0,2010,6,"C",0,437,414,241,11,7,140,81,57.9,331.2,NA,NA,37,NA,NA,NA,75,NA,"O'Connell (John A.) High","San Francisco Unified","San Francisco",94110,"CST English-Language Arts"," Fluent-English Proficient and English Only"
"31","49161",38,68478,3834769,0,2010,160,"C",0,437,414,173,9,7,165,60,36.4,286.1,NA,NA,8,NA,NA,NA,59,NA,"O'Connell (John A.) High","San Francisco Unified","San Francisco",94110,"CST English-Language Arts"," English Learner"
"32","49200",38,68478,3834769,0,2010,165,"C",0,437,414,141,10,7,132,47,35.6,271.2,NA,NA,2,NA,NA,NA,47,NA,"O'Connell (John A.) High","San Francisco Unified","San Francisco",94110,"CST English-Language Arts"," ELD Instruction Only"
"33","49202",38,68478,3834769,0,2010,165,"C",0,437,414,141,10,20,132,43,32.6,281.9,NA,NA,2,NA,NA,NA,42,NA,"O'Connell (John A.) High","San Francisco Unified","San Francisco",94110,"CST Biology/Life Sciences"," ELD Instruction Only"
"34","50069",38,68478,3839081,0,2010,74,"C",0,1704,1686,74,10,9,717,11,1.5,237.2,NA,NA,0,NA,NA,NA,11,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Algebra I"," Black or African American"
"35","50070",38,68478,3839081,0,2010,74,"C",0,1704,1686,74,10,11,717,15,2.1,260.2,NA,NA,0,NA,NA,NA,14,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Geometry"," Black or African American"
"36","50071",38,68478,3839081,0,2010,74,"C",0,1704,1686,74,10,7,717,26,3.6,298.3,NA,NA,16,NA,NA,NA,25,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST English-Language Arts"," Black or African American"
"37","50072",38,68478,3839081,0,2010,74,"C",0,1704,1686,74,11,7,557,19,3.4,318.9,NA,NA,16,NA,NA,NA,19,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST English-Language Arts"," Black or African American"
"38","50117",38,68478,3839081,0,2010,76,"C",0,1704,1686,1175,10,21,717,104,14.5,388.3,NA,NA,88,NA,NA,NA,104,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Chemistry"," Asian"
"39","50168",38,68478,3839081,0,2010,77,"C",0,1704,1686,64,10,7,717,34,4.7,357.6,NA,NA,52,NA,NA,NA,33,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST English-Language Arts"," Filipino"
"40","50169",38,68478,3839081,0,2010,77,"C",0,1704,1686,64,10,11,717,20,2.8,302.2,NA,NA,15,NA,NA,NA,20,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Geometry"," Filipino"
"41","50172",38,68478,3839081,0,2010,77,"C",0,1704,1686,64,11,7,557,15,2.7,347.6,NA,NA,47,NA,NA,NA,15,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST English-Language Arts"," Filipino"
"42","50195",38,68478,3839081,0,2010,78,"C",0,1704,1686,186,9,9,430,47,10.9,274,NA,NA,6,NA,NA,NA,47,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Algebra I"," Hispanic or Latino"
"43","50306",38,68478,3839081,0,2010,90,"C",0,1704,1686,138,10,11,717,21,2.9,313.8,NA,NA,24,NA,NA,NA,21,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Geometry"," Not a High School Graduate"
"44","50346",38,68478,3839081,0,2010,91,"C",0,1704,1686,615,10,18,717,370,51.6,358.7,NA,NA,56,NA,NA,NA,370,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST World History"," High School Graduate"
"45","50347",38,68478,3839081,0,2010,91,"C",0,1704,1686,615,10,32,717,370,51.6,366.3,NA,NA,59,NA,NA,NA,370,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science"," High School Graduate"
"46","50348",38,68478,3839081,0,2010,91,"C",0,1704,1686,615,10,21,717,82,11.4,386.3,NA,NA,84,NA,NA,NA,82,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Chemistry"," High School Graduate"
"47","50486",38,68478,3839081,0,2010,94,"C",0,1704,1686,44,11,15,557,11,2,351.1,NA,NA,64,NA,NA,NA,11,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Summative High School Mathematics (Grade 9-11) "," Graduate School/Post Graduate"
"48","50519",38,68478,3839081,0,2010,99,"C",0,1704,1686,1523,10,9,717,24,3.3,264.5,NA,NA,8,NA,NA,NA,24,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Algebra I"," Students with No Reported Disability"
"49","50524",38,68478,3839081,0,2010,99,"C",0,1704,1686,1523,11,15,557,192,34.5,376.2,NA,NA,70,NA,NA,NA,192,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST Summative High School Mathematics (Grade 9-11) "," Students with No Reported Disability"
"50","50526",38,68478,3839081,0,2010,99,"C",0,1704,1686,1523,11,19,557,506,90.8,360.1,NA,NA,56,NA,NA,NA,506,NA,"Washington (George) High","San Francisco Unified","San Francisco",94121,"CST U.S. History"," Students with No Reported Disability"
